item,auto,run,episode_id,task_id,condition,domain,difficulty
A001,yes,runs/pilot-clean,99be23f7,arc0-009-e2-probe-addr,C1,d1,easy
A002,no,runs/sweep/d1-medium,5b5ae8d6,arc0-004-e3-probe-combo,C4,d1,medium
A003,yes,runs/sweep/d2-hard,d6c1fe76,d2-arc0-009-e3-probe-ver-upd,C1,d2,hard
A004,yes,runs/pilot-d2-v2,772b52e5,d2-arc0-005-e3-probe-ver,C5,d2,easy
A005,yes,runs/pilot-d2-v2,be423988,d2-arc0-006-e1-probe-ver,C2,d2,easy
A006,yes,runs/pilot-clean,b688e4bb,arc0-008-e1-probe-refund,C1,d1,easy
A007,yes,runs/sweep/d2-medium,855d5d52,d2-arc0-007-e3-probe-combo,C3,d2,medium
A008,yes,runs/pilot-d2-v2,e18d594f,d2-arc0-006-e2-probe-cfg,C2,d2,easy
A009,yes,runs/sweep/d2-hard,e3664f41,d2-arc0-001-e2-probe-ver-upd,C4,d2,hard
A010,yes,runs/sweep/d1-hard,40b8e1d6,arc0-007-e3-probe-refund-upd,C5,d1,hard
A011,yes,runs/sweep/d1-medium,0aff870b,arc0-006-e2-probe-combo,C1,d1,medium
A012,yes,runs/sweep/d2-hard,2f21fd3f,d2-arc0-005-e3-probe-ver-upd,C5,d2,hard
A013,yes,runs/sweep/d2-medium,af76deea,d2-arc0-000-e1-probe-combo,C5,d2,medium
A014,yes,runs/sweep/d3-medium,6075fde7,d3-arc0-003-e1-probe-roomtime,C4,d3,medium
A015,yes,runs/sweep/d3-hard,5765ca8d,d3-arc0-009-e3-probe-dinner-upd,C4,d3,hard
A016,yes,runs/sweep/d2-hard,1a317f12,d2-arc0-000-e4-probe-ver-upd,C1,d2,hard
A017,yes,runs/sweep/d3-hard,32b0ddf1,d3-arc0-004-e2-probe-dinner-upd,C5,d3,hard
A018,yes,runs/sweep/d2-medium,2d9da4f4,d2-arc0-003-e3-probe-combo,C5,d2,medium
A019,no,runs/sweep/d1-hard,c54171fc,arc0-009-e3-probe-refund-upd,C5,d1,hard
A020,yes,runs/sweep/d1-hard,152cac8a,arc0-007-e4-probe-refund-upd,C1,d1,hard
A021,yes,runs/sweep/d3-easy,9b0c8e16,d3-arc0-002-e4-probe-dinner,C2,d3,easy
A022,no,runs/sweep/d1-hard,89896bda,arc0-009-e4-probe-refund-upd,C2,d1,hard
A023,yes,runs/sweep/d3-easy,845d3ec5,d3-arc0-001-e3-probe-dinner,C5,d3,easy
A024,yes,runs/sweep/d2-medium,24ec01ff,d2-arc0-006-e3-probe-combo,C1,d2,medium
A025,yes,runs/sweep/d1-hard,2310214e,arc0-009-e3-probe-refund-upd,C1,d1,hard
A026,yes,runs/sweep/d3-medium,97ee00b3,d3-arc0-000-e4-probe-dinner,C4,d3,medium
A027,yes,runs/sweep/d2-hard,27a449d8,d2-arc0-001-e2-probe-ver-upd,C3,d2,hard
A028,yes,runs/sweep/d1-medium,213385ac,arc0-000-e2-probe-combo,C2,d1,medium
A029,yes,runs/sweep/d1-hard,14a1fc27,arc0-005-e2-probe-refund-upd,C1,d1,hard
A030,yes,runs/sweep/d1-hard,c19e148a,arc0-006-e4-probe-refund-upd,C5,d1,hard
A031,yes,runs/sweep/d3-easy,203a03ed,d3-arc0-005-e3-probe-dinner,C1,d3,easy
A032,yes,runs/pilot-clean,b1fb36c3,arc0-005-e2-probe-addr,C3,d1,easy
A033,yes,runs/pilot-clean,dbf776a8,arc0-004-e3-probe-addr,C5,d1,easy
A034,yes,runs/sweep/d3-easy,ee1d5419,d3-arc0-001-e2-probe-room,C1,d3,easy
A035,no,runs/sweep/d1-medium,43d2a641,arc0-009-e2-probe-combo,C2,d1,medium
A036,yes,runs/sweep/d1-hard,ba004f1c,arc0-001-e3-probe-refund-upd,C4,d1,hard
A037,no,runs/pilot-clean,1126a559,arc0-006-e4-probe-addr,C5,d1,easy
A038,yes,runs/pilot-d2-v2,9e640724,d2-arc0-000-e4-probe-cfg,C4,d2,easy
A039,yes,runs/sweep/d1-medium,57dfb78d,arc0-008-e2-probe-combo,C5,d1,medium
