item,annotator1,annotator2
A001,yes,yes
A002,no,unclear
A003,yes,yes
A004,yes,yes
A005,yes,yes
A006,yes,yes
A007,yes,yes
A008,yes,yes
A009,yes,yes
A010,yes,yes
A011,yes,yes
A012,yes,yes
A013,yes,yes
A014,yes,yes
A015,yes,yes
A016,yes,yes
A017,yes,yes
A018,yes,yes
A019,no,no
A020,yes,yes
A021,yes,yes
A022,no,no
A023,yes,yes
A024,yes,yes
A025,yes,yes
A026,yes,yes
A027,yes,yes
A028,yes,yes
A029,yes,yes
A030,yes,yes
A031,yes,yes
A032,yes,yes
A033,yes,yes
A034,yes,yes
A035,yes,yes
A036,yes,yes
A037,no,no
A038,yes,yes
A039,yes,yes
A040,yes,yes
A041,no,no
A042,yes,yes
A043,yes,yes
A044,yes,yes
A045,yes,yes
A046,yes,yes
A047,yes,yes
A048,yes,yes
A049,yes,yes
A050,yes,yes
A051,yes,yes
A052,yes,yes
A053,yes,yes
A054,yes,yes
A055,yes,yes
A056,yes,yes
A057,yes,yes
A058,yes,yes
A059,yes,yes
A060,yes,yes
A061,yes,yes
A062,yes,yes
A063,yes,yes
A064,yes,yes
A065,no,no
A066,yes,yes
A067,yes,yes
A068,yes,yes
A069,yes,yes
A070,yes,yes
A071,no,no
A072,yes,yes
A073,yes,yes
A074,yes,yes
A075,yes,yes
A076,yes,yes
A077,yes,yes
A078,yes,yes
A079,yes,yes
A080,yes,yes
A081,yes,yes
A082,yes,yes
A083,yes,yes
A084,yes,yes
A085,yes,yes
A086,yes,yes
A087,yes,yes
A088,yes,yes
A089,yes,yes
A090,yes,yes
A091,yes,yes
A092,yes,yes
A093,yes,yes
A094,yes,yes
A095,yes,yes
A096,yes,yes
A097,yes,yes
A098,yes,yes
A099,yes,yes
A100,yes,yes
